Milestones,DisplayStatus,Description,ExpectedDuration,ContactInstructions
Board of Appeals,Zoning Review,Your project requires special consideration because it conflicts with your area's zoning codes.  Please file an application with the Zoning Board of Appeals.,60-90 days,Call 617-635-5300 and ask for the Zoning Board of Appeals.
Board of Appeal,Zoning Review,Your project requires special consideration because it conflicts with your area's zoning codes.  Please file an application with the Zoning Board of Appeals.,60-90 days,Call 617-635-5300 and ask for the Zoning Board of Appeals.
Appeal Pending,Zoning Review,Your project requires special consideration because it conflicts with your area's zoning codes.  Please file an application with the Zoning Board of Appeals.,60-90 days,Call 617-635-5300 and ask for the Zoning Board of Appeals.
Bldg BOA Pending,Zoning Review,Your project requires special consideration because it conflicts with your area's zoning codes.  Please file an application with the Zoning Board of Appeals.,60-90 days,Call 617-635-5300 and ask for the Zoning Board of Appeals.
Final Review,Issuance,"Congratulations! Once you come get your permit, you're ready to start your project and get to work.  Please make sure your permit is posted in a visible location to make sure your commuity knows your work is allowed.",,Call 617-635-5300 and ask for ISD Counter 2.
Review,Issuance,"Congratulations! Once you come get your permit, you're ready to start your project and get to work.  Please make sure your permit is posted in a visible location to make sure your commuity knows your work is allowed.",,Call 617-635-5300 and ask for ISD Counter 2.
Ready To Issue,Issuance,"Congratulations! Once you come get your permit, you're ready to start your project and get to work.  Please make sure your permit is posted in a visible location to make sure your commuity knows your work is allowed.",,Call 617-635-5300 and ask for ISD Counter 2.
ScheduleInspection,Inspections,You've done the work.  Now we need to certify that it meets all code requirements.  Please contact the Building Inpsection unit to schedule an inspection and keep your project on track!,,Call 617-635-5300 and ask for your assigned inspector.
Inspection,Inspections,You've done the work.  Now we need to certify that it meets all code requirements.  Please contact the Building Inpsection unit to schedule an inspection and keep your project on track!,,Call 617-635-5300 and ask for your assigned inspector.
Re-Inspection,Inspections,You've done the work.  Now we need to certify that it meets all code requirements.  Please contact the Building Inpsection unit to schedule an inspection and keep your project on track!,,Call 617-635-5300 and ask for your assigned inspector.
Final Inspection,Inspections,You've done the work.  Now we need to certify that it meets all code requirements.  Please contact the Building Inpsection unit to schedule an inspection and keep your project on track!,,Call 617-635-5300 and ask for your assigned inspector.
ReInspection,Inspections,You've done the work.  Now we need to certify that it meets all code requirements.  Please contact the Building Inpsection unit to schedule an inspection and keep your project on track!,,Call 617-635-5300 and ask for your assigned inspector.
COO,Occupancy,You're almost there.  We need one final check to make sure your space is safe to use.  Staff is in the process of evaulating your certificate of occupancy.,,Call 617-635-5300 and ask for Counter 3.
Certificate Issued,Occupancy,You're almost there.  We need one final check to make sure your space is safe to use.  Staff is in the process of evaulating your certificate of occupancy.,,Call 617-635-5300 and ask for Counter 3.
OccNotOnFile,Occupancy,You're almost there.  We need one final check to make sure your space is safe to use.  Staff is in the process of evaulating your certificate of occupancy.,,Call 617-635-5300 and ask for Counter 3.
Legal,Occupancy,You're almost there.  We need one final check to make sure your space is safe to use.  Staff is in the process of evaulating your certificate of occupancy.,,Call 617-635-5300 and ask for Counter 3.
Abandon,Abandoned,,,
Revoked,Revoked,,,
Denied,Denied,,,
Closed,Completed,,,
Complete,Completed,,,
